NewID,request_no,bill_amount,claim Status,No. of Tour Days,Mode of Transport,Distance in KMs,Tier,date_of_joining,date_of_birth,CostCentre_Code,Travel_Purpose_Description,IC
16674.0,17E02FINA018731,30.0,Approved by SSC,5.0,Auto,3.0,TIER I,Jul 29 2010 12:00AM,Jun  1 1974 12:00AM,BM100D4E8S,Business Trip,FINA
1437.0,17E02MIPI014044,800.0,Approved by SSC,4.0,Public Taxi,45.0,TIER 2,Nov 21 2005 12:00AM,Mar 20 1979 12:00AM,PW9007,Business Trip,MIPI
19644.0,17E02MIPI013992,200.0,Approved by SSC,5.0,Auto,18.0,TIER 2,Sep 29 2004 12:00AM,May 16 1976 12:00AM,BA9080,Business Trip,MIPI
32439.0,17E02EAIC021389,110.0,Approved by SSC,4.5,Auto,11.0,S&E,Oct  5 2015 12:00AM,Aug 20 1985 12:00AM,150330201,Business Trip,EAIC
1262.0,17E02CONS062825,420.0,Approved by SSC,4.5,Public Taxi,10.0,TIER 2,Nov  1 2014 12:00AM,Sep 25 1981 12:00AM,BNNUP012,Business Trip,CONS
25646.0,17E02EWAC004521,399.0,Approved by SSC,1.0,Auto,63.0,S&E,Oct  9 2014 12:00AM,Jan  6 1993 12:00AM,BD7033,Business Trip,EWAC
18000.0,17E02FINA020896,40.0,Approved by SSC,10.0,Auto,3.0,TIER I,Mar  3 2010 12:00AM,Aug 15 1978 12:00AM,BM340D4E8S,Business Trip,FINA
16789.0,17E02KBL000787,345.0,Approved by SSC,3.5,Public Taxi,24.0,TIER 2,Mar 27 2007 12:00AM,Jul  7 1969 12:00AM,LE120696,Business Trip,KBL0
23948.0,17E02CONS067203,180.0,Approved by SSC,1.5,Auto,15.0,TIER 1,Jul  1 2010 12:00AM,May 26 1987 12:00AM,LE100456,Training Program / HR,CONS
15452.0,17E02EWAC005669,345.0,Approved by SSC,1.0,Public Taxi,110.0,TIER 1,May 14 2008 12:00AM,Sep 21 1982 12:00AM,MB7033,Business Trip,EWAC
6703.0,17E02CONS070388,170.0,Approved by SSC,6.5,Auto,14.0,TIER 2,Jul 13 2015 12:00AM,Jan  1 1973 12:00AM,LE160548,Transfer,CONS
7393.0,17E02HEIC012303,150.0,Approved by SSC,1.0,Auto,7.0,S&E,May 30 2016 12:00AM,Jul 25 1990 12:00AM,3533,Business Trip,HEIC
